Sample	Animal	Source	Experiment	Case
C0	C	Spleen	MT	Control
C1	C	MitralTuft	MT	SCNT
C5	C	MitralTuft	MT	SCNT
D0	D	Spleen	MT	Control
D4	D	MitralTuft	MT	SCNT
B1	B	Thymus	MT	Control
B2	B	MitralTuft	MT	SCNT
B3	B	MitralTuft	MT	SCNT
B4	B	MitralTuft	MT	SCNT
E0	E	Thymus	MT	Control
E1	E	MitralTuft	MT	SCNT
M_DY-Mouse_2-NRL-Thymus1	F	Thymus	ROD	Control
M_DY-Mouse_2-NRL-NT1	F	NRL_ROD	ROD	SCNT
M_DY-Mouse_3-NRL-Thymus2	G	Thymus	ROD	Control
M_DY-Mouse_3-NRL-NT2	G	NRL_ROD	ROD	SCNT
M_DY-Mouse_4-NRL-Thymus3	H	Thymus	ROD	Control
M_DY-Mouse_4-NRL-NT3	H	NRL_ROD	ROD	SCNT
